,subject_id,trial_index,conc_pal,concept,palette,accuracy,condition
32,pv8mjorbc3,8,11_speed,speed,11,1,gpt
33,pv8mjorbc3,8,11_working,working,11,1,gpt
34,pv8mjorbc3,8,11_leisure,leisure,11,0,gpt
35,pv8mjorbc3,8,11_efficiency,efficiency,11,0,gpt
36,pv8mjorbc3,9,12_comfort,comfort,12,1,gpt
37,pv8mjorbc3,9,12_eggplant,eggplant,12,1,gpt
38,pv8mjorbc3,9,12_celery,celery,12,1,gpt
39,pv8mjorbc3,9,12_safety,safety,12,1,gpt
40,pv8mjorbc3,10,16_comfort,comfort,16,0,gpt
41,pv8mjorbc3,10,16_sleeping,sleeping,16,1,gpt
42,pv8mjorbc3,10,16_driving,driving,16,0,gpt
43,pv8mjorbc3,10,16_safety,safety,16,0,gpt
44,pv8mjorbc3,11,9_cherry,cherry,9,1,gpt
45,pv8mjorbc3,11,9_corn,corn,9,1,gpt
46,pv8mjorbc3,11,9_carrot,carrot,9,1,gpt
47,pv8mjorbc3,11,9_peach,peach,9,1,gpt
48,pv8mjorbc3,12,13_cherry,cherry,13,1,gpt
49,pv8mjorbc3,12,13_working,working,13,1,gpt
50,pv8mjorbc3,12,13_leisure,leisure,13,1,gpt
51,pv8mjorbc3,12,13_peach,peach,13,1,gpt
52,pv8mjorbc3,13,14_banana,banana,14,1,gpt
53,pv8mjorbc3,13,14_eggplant,eggplant,14,0,gpt
54,pv8mjorbc3,13,14_celery,celery,14,1,gpt
55,pv8mjorbc3,13,14_grape,grape,14,0,gpt
56,pv8mjorbc3,14,15_speed,speed,15,1,gpt
57,pv8mjorbc3,14,15_corn,corn,15,1,gpt
58,pv8mjorbc3,14,15_carrot,carrot,15,1,gpt
59,pv8mjorbc3,14,15_efficiency,efficiency,15,1,gpt
60,pv8mjorbc3,15,10_banana,banana,10,1,gpt
61,pv8mjorbc3,15,10_sleeping,sleeping,10,1,gpt
62,pv8mjorbc3,15,10_driving,driving,10,1,gpt
63,pv8mjorbc3,15,10_grape,grape,10,1,gpt
64,pv8mjorbc3,16,10_grape,grape,10,1,gpt
65,pv8mjorbc3,16,10_banana,banana,10,1,gpt
66,pv8mjorbc3,16,10_sleeping,sleeping,10,1,gpt
67,pv8mjorbc3,16,10_driving,driving,10,1,gpt
68,pv8mjorbc3,17,15_efficiency,efficiency,15,1,gpt
69,pv8mjorbc3,17,15_speed,speed,15,1,gpt
70,pv8mjorbc3,17,15_corn,corn,15,1,gpt
71,pv8mjorbc3,17,15_carrot,carrot,15,1,gpt
72,pv8mjorbc3,18,16_safety,safety,16,1,gpt
73,pv8mjorbc3,18,16_comfort,comfort,16,1,gpt
74,pv8mjorbc3,18,16_sleeping,sleeping,16,1,gpt
75,pv8mjorbc3,18,16_driving,driving,16,1,gpt
76,pv8mjorbc3,19,9_peach,peach,9,1,gpt
77,pv8mjorbc3,19,9_cherry,cherry,9,1,gpt
78,pv8mjorbc3,19,9_corn,corn,9,1,gpt
79,pv8mjorbc3,19,9_carrot,carrot,9,1,gpt
80,pv8mjorbc3,20,12_safety,safety,12,1,gpt
81,pv8mjorbc3,20,12_comfort,comfort,12,1,gpt
82,pv8mjorbc3,20,12_eggplant,eggplant,12,1,gpt
83,pv8mjorbc3,20,12_celery,celery,12,1,gpt
84,pv8mjorbc3,21,14_grape,grape,14,0,gpt
85,pv8mjorbc3,21,14_banana,banana,14,1,gpt
86,pv8mjorbc3,21,14_eggplant,eggplant,14,0,gpt
87,pv8mjorbc3,21,14_celery,celery,14,1,gpt
88,pv8mjorbc3,22,13_peach,peach,13,1,gpt
89,pv8mjorbc3,22,13_cherry,cherry,13,1,gpt
90,pv8mjorbc3,22,13_working,working,13,1,gpt
91,pv8mjorbc3,22,13_leisure,leisure,13,1,gpt
92,pv8mjorbc3,23,11_efficiency,efficiency,11,0,gpt
93,pv8mjorbc3,23,11_speed,speed,11,1,gpt
94,pv8mjorbc3,23,11_working,working,11,1,gpt
95,pv8mjorbc3,23,11_leisure,leisure,11,0,gpt
96,pv8mjorbc3,24,16_driving,driving,16,1,gpt
97,pv8mjorbc3,24,16_safety,safety,16,1,gpt
98,pv8mjorbc3,24,16_comfort,comfort,16,1,gpt
99,pv8mjorbc3,24,16_sleeping,sleeping,16,1,gpt
100,pv8mjorbc3,25,9_carrot,carrot,9,1,gpt
101,pv8mjorbc3,25,9_peach,peach,9,1,gpt
102,pv8mjorbc3,25,9_cherry,cherry,9,1,gpt
103,pv8mjorbc3,25,9_corn,corn,9,1,gpt
104,pv8mjorbc3,26,10_driving,driving,10,1,gpt
105,pv8mjorbc3,26,10_grape,grape,10,1,gpt
106,pv8mjorbc3,26,10_banana,banana,10,1,gpt
107,pv8mjorbc3,26,10_sleeping,sleeping,10,1,gpt
108,pv8mjorbc3,27,13_leisure,leisure,13,1,gpt
109,pv8mjorbc3,27,13_peach,peach,13,1,gpt
110,pv8mjorbc3,27,13_cherry,cherry,13,1,gpt
111,pv8mjorbc3,27,13_working,working,13,1,gpt
112,pv8mjorbc3,28,11_leisure,leisure,11,0,gpt
113,pv8mjorbc3,28,11_efficiency,efficiency,11,0,gpt
114,pv8mjorbc3,28,11_speed,speed,11,1,gpt
115,pv8mjorbc3,28,11_working,working,11,0,gpt
116,pv8mjorbc3,29,14_celery,celery,14,1,gpt
117,pv8mjorbc3,29,14_grape,grape,14,0,gpt
118,pv8mjorbc3,29,14_banana,banana,14,1,gpt
119,pv8mjorbc3,29,14_eggplant,eggplant,14,0,gpt
120,pv8mjorbc3,30,12_celery,celery,12,1,gpt
121,pv8mjorbc3,30,12_safety,safety,12,1,gpt
122,pv8mjorbc3,30,12_comfort,comfort,12,1,gpt
123,pv8mjorbc3,30,12_eggplant,eggplant,12,1,gpt
124,pv8mjorbc3,31,15_carrot,carrot,15,1,gpt
125,pv8mjorbc3,31,15_efficiency,efficiency,15,1,gpt
126,pv8mjorbc3,31,15_speed,speed,15,1,gpt
127,pv8mjorbc3,31,15_corn,corn,15,1,gpt
128,pv8mjorbc3,32,14_eggplant,eggplant,14,0,gpt
129,pv8mjorbc3,32,14_celery,celery,14,1,gpt
130,pv8mjorbc3,32,14_grape,grape,14,0,gpt
131,pv8mjorbc3,32,14_banana,banana,14,1,gpt
132,pv8mjorbc3,33,12_eggplant,eggplant,12,1,gpt
133,pv8mjorbc3,33,12_celery,celery,12,1,gpt
134,pv8mjorbc3,33,12_safety,safety,12,1,gpt
135,pv8mjorbc3,33,12_comfort,comfort,12,1,gpt
136,pv8mjorbc3,34,10_sleeping,sleeping,10,1,gpt
137,pv8mjorbc3,34,10_driving,driving,10,1,gpt
138,pv8mjorbc3,34,10_grape,grape,10,1,gpt
139,pv8mjorbc3,34,10_banana,banana,10,1,gpt
140,pv8mjorbc3,35,13_working,working,13,1,gpt
141,pv8mjorbc3,35,13_leisure,leisure,13,1,gpt
142,pv8mjorbc3,35,13_peach,peach,13,1,gpt
143,pv8mjorbc3,35,13_cherry,cherry,13,1,gpt
144,pv8mjorbc3,36,16_sleeping,sleeping,16,1,gpt
145,pv8mjorbc3,36,16_driving,driving,16,1,gpt
146,pv8mjorbc3,36,16_safety,safety,16,1,gpt
147,pv8mjorbc3,36,16_comfort,comfort,16,1,gpt
148,pv8mjorbc3,37,15_corn,corn,15,1,gpt
149,pv8mjorbc3,37,15_carrot,carrot,15,1,gpt
150,pv8mjorbc3,37,15_efficiency,efficiency,15,1,gpt
151,pv8mjorbc3,37,15_speed,speed,15,1,gpt
152,pv8mjorbc3,38,9_corn,corn,9,1,gpt
153,pv8mjorbc3,38,9_carrot,carrot,9,1,gpt
154,pv8mjorbc3,38,9_peach,peach,9,1,gpt
155,pv8mjorbc3,38,9_cherry,cherry,9,1,gpt
156,pv8mjorbc3,39,11_working,working,11,0,gpt
157,pv8mjorbc3,39,11_leisure,leisure,11,0,gpt
158,pv8mjorbc3,39,11_efficiency,efficiency,11,0,gpt
159,pv8mjorbc3,39,11_speed,speed,11,1,gpt
160,pv8mjorbc3,40,12_safety,safety,12,1,gpt
161,pv8mjorbc3,40,12_comfort,comfort,12,1,gpt
162,pv8mjorbc3,40,12_eggplant,eggplant,12,1,gpt
163,pv8mjorbc3,40,12_celery,celery,12,1,gpt
164,pv8mjorbc3,41,9_peach,peach,9,1,gpt
165,pv8mjorbc3,41,9_cherry,cherry,9,1,gpt
166,pv8mjorbc3,41,9_corn,corn,9,1,gpt
167,pv8mjorbc3,41,9_carrot,carrot,9,1,gpt
168,pv8mjorbc3,42,11_efficiency,efficiency,11,0,gpt
169,pv8mjorbc3,42,11_speed,speed,11,1,gpt
170,pv8mjorbc3,42,11_working,working,11,0,gpt
171,pv8mjorbc3,42,11_leisure,leisure,11,0,gpt
172,pv8mjorbc3,43,14_grape,grape,14,0,gpt
173,pv8mjorbc3,43,14_banana,banana,14,1,gpt
174,pv8mjorbc3,43,14_eggplant,eggplant,14,0,gpt
175,pv8mjorbc3,43,14_celery,celery,14,1,gpt
176,pv8mjorbc3,44,16_safety,safety,16,1,gpt
177,pv8mjorbc3,44,16_comfort,comfort,16,1,gpt
178,pv8mjorbc3,44,16_sleeping,sleeping,16,1,gpt
179,pv8mjorbc3,44,16_driving,driving,16,1,gpt
180,pv8mjorbc3,45,15_efficiency,efficiency,15,1,gpt
181,pv8mjorbc3,45,15_speed,speed,15,1,gpt
182,pv8mjorbc3,45,15_corn,corn,15,1,gpt
183,pv8mjorbc3,45,15_carrot,carrot,15,1,gpt
184,pv8mjorbc3,46,13_peach,peach,13,1,gpt
185,pv8mjorbc3,46,13_cherry,cherry,13,1,gpt
186,pv8mjorbc3,46,13_working,working,13,1,gpt
187,pv8mjorbc3,46,13_leisure,leisure,13,1,gpt
188,pv8mjorbc3,47,10_grape,grape,10,1,gpt
189,pv8mjorbc3,47,10_banana,banana,10,1,gpt
190,pv8mjorbc3,47,10_sleeping,sleeping,10,1,gpt
191,pv8mjorbc3,47,10_driving,driving,10,1,gpt
192,pv8mjorbc3,48,12_celery,celery,12,1,gpt
193,pv8mjorbc3,48,12_safety,safety,12,1,gpt
194,pv8mjorbc3,48,12_comfort,comfort,12,1,gpt
195,pv8mjorbc3,48,12_eggplant,eggplant,12,1,gpt
196,pv8mjorbc3,49,9_carrot,carrot,9,1,gpt
197,pv8mjorbc3,49,9_peach,peach,9,1,gpt
198,pv8mjorbc3,49,9_cherry,cherry,9,1,gpt
199,pv8mjorbc3,49,9_corn,corn,9,1,gpt
200,pv8mjorbc3,50,16_driving,driving,16,1,gpt
201,pv8mjorbc3,50,16_safety,safety,16,1,gpt
202,pv8mjorbc3,50,16_comfort,comfort,16,1,gpt
203,pv8mjorbc3,50,16_sleeping,sleeping,16,1,gpt
204,pv8mjorbc3,51,11_leisure,leisure,11,0,gpt
205,pv8mjorbc3,51,11_efficiency,efficiency,11,0,gpt
206,pv8mjorbc3,51,11_speed,speed,11,1,gpt
207,pv8mjorbc3,51,11_working,working,11,0,gpt
208,pv8mjorbc3,52,10_driving,driving,10,1,gpt
209,pv8mjorbc3,52,10_grape,grape,10,1,gpt
210,pv8mjorbc3,52,10_banana,banana,10,1,gpt
211,pv8mjorbc3,52,10_sleeping,sleeping,10,1,gpt
212,pv8mjorbc3,53,13_leisure,leisure,13,1,gpt
213,pv8mjorbc3,53,13_peach,peach,13,1,gpt
214,pv8mjorbc3,53,13_cherry,cherry,13,1,gpt
215,pv8mjorbc3,53,13_working,working,13,1,gpt
216,pv8mjorbc3,54,15_carrot,carrot,15,1,gpt
217,pv8mjorbc3,54,15_efficiency,efficiency,15,1,gpt
218,pv8mjorbc3,54,15_speed,speed,15,1,gpt
219,pv8mjorbc3,54,15_corn,corn,15,1,gpt
220,pv8mjorbc3,55,14_celery,celery,14,1,gpt
221,pv8mjorbc3,55,14_grape,grape,14,0,gpt
222,pv8mjorbc3,55,14_banana,banana,14,1,gpt
223,pv8mjorbc3,55,14_eggplant,eggplant,14,0,gpt
224,pv8mjorbc3,56,12_comfort,comfort,12,1,gpt
225,pv8mjorbc3,56,12_eggplant,eggplant,12,1,gpt
226,pv8mjorbc3,56,12_celery,celery,12,1,gpt
227,pv8mjorbc3,56,12_safety,safety,12,1,gpt
228,pv8mjorbc3,57,10_banana,banana,10,1,gpt
229,pv8mjorbc3,57,10_sleeping,sleeping,10,1,gpt
230,pv8mjorbc3,57,10_driving,driving,10,1,gpt
231,pv8mjorbc3,57,10_grape,grape,10,1,gpt
232,pv8mjorbc3,58,13_cherry,cherry,13,1,gpt
233,pv8mjorbc3,58,13_working,working,13,1,gpt
234,pv8mjorbc3,58,13_leisure,leisure,13,1,gpt
235,pv8mjorbc3,58,13_peach,peach,13,1,gpt
236,pv8mjorbc3,59,9_cherry,cherry,9,1,gpt
237,pv8mjorbc3,59,9_corn,corn,9,1,gpt
238,pv8mjorbc3,59,9_carrot,carrot,9,1,gpt
239,pv8mjorbc3,59,9_peach,peach,9,1,gpt
240,pv8mjorbc3,60,15_speed,speed,15,1,gpt
241,pv8mjorbc3,60,15_corn,corn,15,1,gpt
242,pv8mjorbc3,60,15_carrot,carrot,15,1,gpt
243,pv8mjorbc3,60,15_efficiency,efficiency,15,1,gpt
244,pv8mjorbc3,61,14_banana,banana,14,1,gpt
245,pv8mjorbc3,61,14_eggplant,eggplant,14,0,gpt
246,pv8mjorbc3,61,14_celery,celery,14,1,gpt
247,pv8mjorbc3,61,14_grape,grape,14,0,gpt
248,pv8mjorbc3,62,11_speed,speed,11,1,gpt
249,pv8mjorbc3,62,11_working,working,11,0,gpt
250,pv8mjorbc3,62,11_leisure,leisure,11,0,gpt
251,pv8mjorbc3,62,11_efficiency,efficiency,11,0,gpt
252,pv8mjorbc3,63,16_comfort,comfort,16,1,gpt
253,pv8mjorbc3,63,16_sleeping,sleeping,16,1,gpt
254,pv8mjorbc3,63,16_driving,driving,16,1,gpt
255,pv8mjorbc3,63,16_safety,safety,16,1,gpt
256,e9b5jxogxy,64,7_comfort,comfort,7,1,gpt
257,e9b5jxogxy,64,7_corn,corn,7,1,gpt
258,e9b5jxogxy,64,7_carrot,carrot,7,1,gpt
259,e9b5jxogxy,64,7_safety,safety,7,1,gpt
260,e9b5jxogxy,65,5_banana,banana,5,1,gpt
261,e9b5jxogxy,65,5_working,working,5,1,gpt
262,e9b5jxogxy,65,5_leisure,leisure,5,1,gpt
263,e9b5jxogxy,65,5_grape,grape,5,1,gpt
264,e9b5jxogxy,66,6_cherry,cherry,6,1,gpt
265,e9b5jxogxy,66,6_eggplant,eggplant,6,1,gpt
266,e9b5jxogxy,66,6_celery,celery,6,1,gpt
267,e9b5jxogxy,66,6_peach,peach,6,1,gpt
268,e9b5jxogxy,67,4_speed,speed,4,1,gpt
269,e9b5jxogxy,67,4_eggplant,eggplant,4,1,gpt
270,e9b5jxogxy,67,4_celery,celery,4,1,gpt
271,e9b5jxogxy,67,4_efficiency,efficiency,4,1,gpt
272,e9b5jxogxy,68,2_cherry,cherry,2,1,gpt
273,e9b5jxogxy,68,2_sleeping,sleeping,2,0,gpt
274,e9b5jxogxy,68,2_driving,driving,2,0,gpt
275,e9b5jxogxy,68,2_peach,peach,2,1,gpt
276,e9b5jxogxy,69,1_banana,banana,1,1,gpt
277,e9b5jxogxy,69,1_corn,corn,1,1,gpt
278,e9b5jxogxy,69,1_carrot,carrot,1,1,gpt
279,e9b5jxogxy,69,1_grape,grape,1,1,gpt
280,e9b5jxogxy,70,8_speed,speed,8,0,gpt
281,e9b5jxogxy,70,8_sleeping,sleeping,8,0,gpt
282,e9b5jxogxy,70,8_driving,driving,8,0,gpt
283,e9b5jxogxy,70,8_efficiency,efficiency,8,0,gpt
284,e9b5jxogxy,71,3_comfort,comfort,3,0,gpt
285,e9b5jxogxy,71,3_working,working,3,0,gpt
286,e9b5jxogxy,71,3_leisure,leisure,3,0,gpt
287,e9b5jxogxy,71,3_safety,safety,3,0,gpt
288,e9b5jxogxy,72,4_celery,celery,4,1,gpt
289,e9b5jxogxy,72,4_efficiency,efficiency,4,1,gpt
290,e9b5jxogxy,72,4_speed,speed,4,1,gpt
291,e9b5jxogxy,72,4_eggplant,eggplant,4,1,gpt
292,e9b5jxogxy,73,2_driving,driving,2,1,gpt
293,e9b5jxogxy,73,2_peach,peach,2,1,gpt
294,e9b5jxogxy,73,2_cherry,cherry,2,1,gpt
295,e9b5jxogxy,73,2_sleeping,sleeping,2,1,gpt
296,e9b5jxogxy,74,8_driving,driving,8,0,gpt
297,e9b5jxogxy,74,8_efficiency,efficiency,8,1,gpt
298,e9b5jxogxy,74,8_speed,speed,8,0,gpt
299,e9b5jxogxy,74,8_sleeping,sleeping,8,1,gpt
300,e9b5jxogxy,75,1_carrot,carrot,1,1,gpt
301,e9b5jxogxy,75,1_grape,grape,1,1,gpt
302,e9b5jxogxy,75,1_banana,banana,1,1,gpt
303,e9b5jxogxy,75,1_corn,corn,1,1,gpt
304,e9b5jxogxy,76,5_leisure,leisure,5,1,gpt
305,e9b5jxogxy,76,5_grape,grape,5,1,gpt
306,e9b5jxogxy,76,5_banana,banana,5,1,gpt
307,e9b5jxogxy,76,5_working,working,5,1,gpt
308,e9b5jxogxy,77,7_carrot,carrot,7,0,gpt
309,e9b5jxogxy,77,7_safety,safety,7,1,gpt
310,e9b5jxogxy,77,7_comfort,comfort,7,0,gpt
311,e9b5jxogxy,77,7_corn,corn,7,0,gpt
312,e9b5jxogxy,78,6_celery,celery,6,1,gpt
313,e9b5jxogxy,78,6_peach,peach,6,1,gpt
314,e9b5jxogxy,78,6_cherry,cherry,6,1,gpt
315,e9b5jxogxy,78,6_eggplant,eggplant,6,1,gpt
316,e9b5jxogxy,79,3_leisure,leisure,3,0,gpt
317,e9b5jxogxy,79,3_safety,safety,3,0,gpt
318,e9b5jxogxy,79,3_comfort,comfort,3,1,gpt
319,e9b5jxogxy,79,3_working,working,3,1,gpt
320,e9b5jxogxy,80,3_safety,safety,3,1,gpt
321,e9b5jxogxy,80,3_comfort,comfort,3,0,gpt
322,e9b5jxogxy,80,3_working,working,3,1,gpt
323,e9b5jxogxy,80,3_leisure,leisure,3,0,gpt
324,e9b5jxogxy,81,6_peach,peach,6,1,gpt
325,e9b5jxogxy,81,6_cherry,cherry,6,1,gpt
326,e9b5jxogxy,81,6_eggplant,eggplant,6,1,gpt
327,e9b5jxogxy,81,6_celery,celery,6,1,gpt
328,e9b5jxogxy,82,5_grape,grape,5,1,gpt
329,e9b5jxogxy,82,5_banana,banana,5,1,gpt
330,e9b5jxogxy,82,5_working,working,5,1,gpt
331,e9b5jxogxy,82,5_leisure,leisure,5,1,gpt
332,e9b5jxogxy,83,2_peach,peach,2,1,gpt
333,e9b5jxogxy,83,2_cherry,cherry,2,0,gpt
334,e9b5jxogxy,83,2_sleeping,sleeping,2,1,gpt
335,e9b5jxogxy,83,2_driving,driving,2,0,gpt
336,e9b5jxogxy,84,4_efficiency,efficiency,4,1,gpt
337,e9b5jxogxy,84,4_speed,speed,4,1,gpt
338,e9b5jxogxy,84,4_eggplant,eggplant,4,1,gpt
339,e9b5jxogxy,84,4_celery,celery,4,1,gpt
340,e9b5jxogxy,85,8_efficiency,efficiency,8,1,gpt
341,e9b5jxogxy,85,8_speed,speed,8,1,gpt
342,e9b5jxogxy,85,8_sleeping,sleeping,8,1,gpt
343,e9b5jxogxy,85,8_driving,driving,8,1,gpt
344,e9b5jxogxy,86,7_safety,safety,7,0,gpt
345,e9b5jxogxy,86,7_comfort,comfort,7,0,gpt
346,e9b5jxogxy,86,7_corn,corn,7,1,gpt
347,e9b5jxogxy,86,7_carrot,carrot,7,0,gpt
348,e9b5jxogxy,87,1_grape,grape,1,1,gpt
349,e9b5jxogxy,87,1_banana,banana,1,1,gpt
350,e9b5jxogxy,87,1_corn,corn,1,1,gpt
351,e9b5jxogxy,87,1_carrot,carrot,1,1,gpt
352,e9b5jxogxy,88,5_grape,grape,5,1,gpt
353,e9b5jxogxy,88,5_banana,banana,5,1,gpt
354,e9b5jxogxy,88,5_working,working,5,1,gpt
355,e9b5jxogxy,88,5_leisure,leisure,5,1,gpt
356,e9b5jxogxy,89,3_safety,safety,3,0,gpt
357,e9b5jxogxy,89,3_comfort,comfort,3,0,gpt
358,e9b5jxogxy,89,3_working,working,3,0,gpt
359,e9b5jxogxy,89,3_leisure,leisure,3,0,gpt
360,e9b5jxogxy,90,2_peach,peach,2,1,gpt
361,e9b5jxogxy,90,2_cherry,cherry,2,1,gpt
362,e9b5jxogxy,90,2_sleeping,sleeping,2,1,gpt
363,e9b5jxogxy,90,2_driving,driving,2,1,gpt
364,e9b5jxogxy,91,1_grape,grape,1,1,gpt
365,e9b5jxogxy,91,1_banana,banana,1,1,gpt
366,e9b5jxogxy,91,1_corn,corn,1,1,gpt
367,e9b5jxogxy,91,1_carrot,carrot,1,1,gpt
368,e9b5jxogxy,92,8_efficiency,efficiency,8,1,gpt
369,e9b5jxogxy,92,8_speed,speed,8,1,gpt
370,e9b5jxogxy,92,8_sleeping,sleeping,8,1,gpt
371,e9b5jxogxy,92,8_driving,driving,8,1,gpt
372,e9b5jxogxy,93,4_efficiency,efficiency,4,1,gpt
373,e9b5jxogxy,93,4_speed,speed,4,1,gpt
374,e9b5jxogxy,93,4_eggplant,eggplant,4,1,gpt
375,e9b5jxogxy,93,4_celery,celery,4,1,gpt
376,e9b5jxogxy,94,7_safety,safety,7,1,gpt
377,e9b5jxogxy,94,7_comfort,comfort,7,1,gpt
378,e9b5jxogxy,94,7_corn,corn,7,1,gpt
379,e9b5jxogxy,94,7_carrot,carrot,7,1,gpt
380,e9b5jxogxy,95,6_peach,peach,6,1,gpt
381,e9b5jxogxy,95,6_cherry,cherry,6,1,gpt
382,e9b5jxogxy,95,6_eggplant,eggplant,6,1,gpt
383,e9b5jxogxy,95,6_celery,celery,6,1,gpt
384,e9b5jxogxy,96,4_eggplant,eggplant,4,1,gpt
385,e9b5jxogxy,96,4_celery,celery,4,1,gpt
386,e9b5jxogxy,96,4_efficiency,efficiency,4,1,gpt
387,e9b5jxogxy,96,4_speed,speed,4,1,gpt
388,e9b5jxogxy,97,5_working,working,5,1,gpt
389,e9b5jxogxy,97,5_leisure,leisure,5,1,gpt
390,e9b5jxogxy,97,5_grape,grape,5,1,gpt
391,e9b5jxogxy,97,5_banana,banana,5,1,gpt
392,e9b5jxogxy,98,2_sleeping,sleeping,2,1,gpt
393,e9b5jxogxy,98,2_driving,driving,2,1,gpt
394,e9b5jxogxy,98,2_peach,peach,2,1,gpt
395,e9b5jxogxy,98,2_cherry,cherry,2,1,gpt
396,e9b5jxogxy,99,3_working,working,3,1,gpt
397,e9b5jxogxy,99,3_leisure,leisure,3,1,gpt
398,e9b5jxogxy,99,3_safety,safety,3,1,gpt
399,e9b5jxogxy,99,3_comfort,comfort,3,1,gpt
400,e9b5jxogxy,100,1_corn,corn,1,1,gpt
401,e9b5jxogxy,100,1_carrot,carrot,1,1,gpt
402,e9b5jxogxy,100,1_grape,grape,1,1,gpt
403,e9b5jxogxy,100,1_banana,banana,1,1,gpt
404,e9b5jxogxy,101,6_eggplant,eggplant,6,1,gpt
405,e9b5jxogxy,101,6_celery,celery,6,1,gpt
406,e9b5jxogxy,101,6_peach,peach,6,1,gpt
407,e9b5jxogxy,101,6_cherry,cherry,6,1,gpt
408,e9b5jxogxy,102,7_corn,corn,7,1,gpt
409,e9b5jxogxy,102,7_carrot,carrot,7,1,gpt
410,e9b5jxogxy,102,7_safety,safety,7,1,gpt
411,e9b5jxogxy,102,7_comfort,comfort,7,1,gpt
412,e9b5jxogxy,103,8_sleeping,sleeping,8,1,gpt
413,e9b5jxogxy,103,8_driving,driving,8,1,gpt
414,e9b5jxogxy,103,8_efficiency,efficiency,8,1,gpt
415,e9b5jxogxy,103,8_speed,speed,8,1,gpt
416,e9b5jxogxy,104,6_celery,celery,6,1,gpt
417,e9b5jxogxy,104,6_peach,peach,6,1,gpt
418,e9b5jxogxy,104,6_cherry,cherry,6,1,gpt
419,e9b5jxogxy,104,6_eggplant,eggplant,6,1,gpt
420,e9b5jxogxy,105,4_celery,celery,4,1,gpt
421,e9b5jxogxy,105,4_efficiency,efficiency,4,1,gpt
422,e9b5jxogxy,105,4_speed,speed,4,1,gpt
423,e9b5jxogxy,105,4_eggplant,eggplant,4,1,gpt
424,e9b5jxogxy,106,2_driving,driving,2,1,gpt
425,e9b5jxogxy,106,2_peach,peach,2,1,gpt
426,e9b5jxogxy,106,2_cherry,cherry,2,1,gpt
427,e9b5jxogxy,106,2_sleeping,sleeping,2,1,gpt
428,e9b5jxogxy,107,3_leisure,leisure,3,1,gpt
429,e9b5jxogxy,107,3_safety,safety,3,1,gpt
430,e9b5jxogxy,107,3_comfort,comfort,3,0,gpt
431,e9b5jxogxy,107,3_working,working,3,0,gpt
432,e9b5jxogxy,108,5_leisure,leisure,5,1,gpt
433,e9b5jxogxy,108,5_grape,grape,5,1,gpt
434,e9b5jxogxy,108,5_banana,banana,5,1,gpt
435,e9b5jxogxy,108,5_working,working,5,1,gpt
436,e9b5jxogxy,109,8_driving,driving,8,1,gpt
437,e9b5jxogxy,109,8_efficiency,efficiency,8,1,gpt
438,e9b5jxogxy,109,8_speed,speed,8,1,gpt
439,e9b5jxogxy,109,8_sleeping,sleeping,8,1,gpt
440,e9b5jxogxy,110,1_carrot,carrot,1,1,gpt
441,e9b5jxogxy,110,1_grape,grape,1,1,gpt
442,e9b5jxogxy,110,1_banana,banana,1,0,gpt
443,e9b5jxogxy,110,1_corn,corn,1,0,gpt
444,e9b5jxogxy,111,7_carrot,carrot,7,1,gpt
445,e9b5jxogxy,111,7_safety,safety,7,1,gpt
446,e9b5jxogxy,111,7_comfort,comfort,7,1,gpt
